"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"16971",,,"DLS:000000000016971","Brønsted interactions in organic crystal structures: towards crystallographic structure refinement using core level spectroscopies","Paul Timothy Edwards","false","Published (Approved)","01/2024","","Thesis",,,,,"false",,"true","true","B07-B1-Versatile Soft X-ray beamline: High Throughput ES1",,,"Materials, Chemistry","",,,"Chemistry, Materials Science, Organic Chemistry, Spectroscopy, X-ray Absorption Spectroscopy (XAS), X-ray Photoelectron Spectroscopy (XPS), Near Edge X-ray Absorption Fine Structures (NEXAFS)",,,"15/01/2024"
"17212",,,"DLS:000014000017212","Materials design of potassium-ion pre-intercalated cathodes for sodium-ion batteries","Runzhe Wei","false","Published (Approved)","01/2024","","Thesis",,,,,"false",,"true","true","B18-Core EXAFS",,,"Chemistry, Materials, Energy","",,"Batteries; Sodium-ion","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Spectroscopy, X-ray Absorption Spectroscopy (XAS), Extended X-ray Absorption Fine Structure (EXAFS), X-ray Absorption Near Edge Structure (XANES)",,,"05/03/2024"
"18363",,,"DLS:000011000018363","Structural insights into Ruthenium complex-DNA triplex interactions","Ahmad Abdullrahman","false","Published (Approved)","01/2024","","Thesis",,,,,"false",,"true","true","B23-Circular Dichroism, I03-Macromolecular Crystallography, I23-Long wavelength MX, VMXi-Versatile Macromolecular Crystallography in situ ",,,"Biology and Bio-materials, Chemistry","",,,"Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech, Diffraction, Spectroscopy, Macromolecular Crystallography (MX), Long Wavelength Crystallography, Circular Dichroism (CD)",,,"28/08/2024"
"16868",,,"DLS:00003E000016868","Synthesis, structure and properties of bifunctional carboxyphosphonate metal-organic frameworks","Joseph A. Barker","false","Published (Approved)","12/2023","","Thesis",,,,,"false",,"true","true","I15-1-X-ray Pair Distribution Function (XPDF)",,,"Materials, Chemistry","",,,"Chemistry, Materials Science, Metal-Organic Frameworks, Metallurgy, Scattering, Total Scattering, Organometallic Chemistry",,,"14/12/2023"
"17028",,,"DLS:000000000017028","Crystallisation behaviour of buffalo milk fat","Yoga Pratama","false","Published (Approved)","12/2023","29590, 31079","Thesis",,,,,"false",,"true","true","labSAXS-Offline SAXS and Sample Environment Development","I would like to express my deepest gratitude to the “The Indonesia Endowment Funds for Education (LPDP)” for granting me the PhD scholarship and financial support for me and my family during my study in the UK.",,"Food Science","",,,"Scattering, Small Angle X-ray Scattering (SAXS), Food Science",,,"24/01/2024"
"17177",,,"DLS:000009000017177","Using multi-scale imaging and diffraction techniques to understand the degradation mechanisms of  lithium ion batteries","Alice Llewellyn","false","Published (Approved)","12/2023","","Thesis",,,,,"false",,"true","true","I11-High Resolution Powder Diffraction","ID15-A at ESRF; 34-ID-C at APS",,"Materials, Chemistry, Energy","",,"Batteries; Lithium-ion; Electric Vehicles","Energy Storage, Earth Sciences & Environment, Energy, Climate Change, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Diffraction, X-ray Powder Diffraction",,,"28/02/2024"
"16800",,,"DLS:000005000016800","Pnp-switchable coinage-metal thermoelectrics for the development of one-compound diodes","Alfred H. L. Rabenbauer","false","Published (Approved)","11/2023","","Thesis",,,,,"false",,"true","true","I15-Extreme Conditions",,,"Materials, Physics, Chemistry","",,"Semiconductors","Quantum Materials, Physics, Physical Chemistry, Chemistry, Materials Science, Thermoelectrics, Diffraction, X-ray Powder Diffraction",,,"30/11/2023"
"16797","10.17863/CAM.104248",,"DLS:00000D000016797","Stimuli-responsive metal–organic cages","Jieyu Zheng","false","Published (Approved)","11/2023","","Thesis",,,,,"false",,"true","true","I19-Small Molecule Single Crystal Diffraction",,,"Materials, Chemistry","","metal-organic cages; stimuli responsiveness; supramolecular chemistry",,"Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Metallurgy, Diffraction, Single Crystal X-ray Diffraction (SXRD), Organometallic Chemistry",,,"29/11/2023"
"16809",,,"DLS:000002000016809","Inhibitors and activity-based probes for β-D-glucuronidases, heparanases and β-L-arabinofuranosidases","Valentina Borlandelli","false","Published (Approved)","10/2023","","Thesis",,,,,"false",,"true","true","I03-Macromolecular Crystallography, I04-1-Macromolecular Crystallography (fixed wavelength), I04-Macromolecular Crystallography",,,"Biology and Bio-materials, Chemistry","",,"Enzymes","Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"04/12/2023"
"16905","10.25560/107342",,"DLS:000000000016905","Investigating the protein subcomplexes from a conjugative Type IV Secretion System","Himani Amin","false","Published (Approved)","10/2023","","Thesis",,,,,"false",,"true","true","Krios I-Titan Krios I at Diamond",,,"Biology and Bio-materials","",,"Bacteria","Structural biology, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"27/12/2023"
"16688",,,"DLS:000000000016688","Advanced control systems for fast orbit feedback of synchrotron electron beams","Idris Kempf","false","Published (Approved)","10/2023","","Thesis",,,,,"false",,"false","false","",,,"Physics, Engineering","Controls",,,"Physics, Engineering & Technology",,,"02/11/2023"
"16719",,,"DLS:000000000016719","Of the vulnerability of orphan proteins: The case study of the Arabidopsis thaliana p70 ribosomal S6 Kinase 2","Kestutis Lapenas","false","Published (Approved)","10/2023","","Thesis",,,,,"false",,"true","true","",,,"Biology and Bio-materials, Chemistry","",,,"Plant science, Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech",,,"09/11/2023"
"16611",,,"DLS:000014000016611","Exploration of potassium X-ray absorption spectroscopy in Prussian blue and catalytic materials","Alexander J. Mayer","false","Published (Approved)","10/2023","","Thesis",,,,,"false",,"true","true","B18-Core EXAFS",,,"Materials, Chemistry, Energy","","potassium K-edge; XANES simulations; XANES Spectroscopy; Prussian Blue; Perovskite; operando; Operando Prussian blue",,"Energy Storage, Earth Sciences & Environment, Energy, Climate Change, Physical Chemistry, Catalysis, Chemistry, Materials Science, Perovskites, Metallurgy, Spectroscopy, X-ray Absorption Spectroscopy (XAS), X-ray Absorption Near Edge Structure (XANES)",,,"12/10/2023"
"16488",,,"DLS:000009000016488","Probing the exfoliation mechanism of 2D materials by X-ray scattering techniques","Zhengyu Yan","false","Published (Approved)","09/2023","","Thesis",,,,,"false",,"true","true","I11-High Resolution Powder Diffraction",,,"Materials, Physics","","Graphene; 2D material; X-ray Diffraction; Synchrotron X-ray",,"Surfaces, Physics, Materials Science, interfaces and thin films, Diffraction, X-ray Powder Diffraction",,,"11/09/2023"
"16853",,,"DLS:000014000016853","Synthesis, structure and magnetism of mixed-anion solids","Robert D. J. Smyth","false","Published (Approved)","09/2023","","Thesis",,,,,"false",,"true","true","B18-Core EXAFS, I11-High Resolution Powder Diffraction","WISH, PEARL, GEM at ISIS",,"Materials, Chemistry, Physics","",,,"Physics, Physical Chemistry, Chemistry, Magnetism, Materials Science, Diffraction, Spectroscopy, X-ray Powder Diffraction, X-ray Absorption Spectroscopy (XAS), X-ray Absorption Near Edge Structure (XANES)",,,"13/12/2023"
"16870",,,"DLS:000013000016870","New drugs to fight osteosarcoma - a complete vibrational microspectroscopy study","Raquel C. Laginha Da Silva","false","Published (Approved)","09/2023","","Thesis",,,,,"false",,"true","true","B22-Multimode InfraRed imaging And Microspectroscopy",,,"Biology and Bio-materials, Chemistry, Medicine","",,"Bone Cancer","Non-Communicable Diseases, Health & Wellbeing, Cancer, Chemistry, Organic Chemistry, Drug Discovery, Life Sciences & Biotech, Spectroscopy, Infrared Spectroscopy, Synchtron-based Fourier Transform Infrared Spectroscopy (SR-FTIR)",,,"14/12/2023"
"16545",,,"DLS:00001A000016545","Complex charge compensation mechanisms in lithium-rich chalcogenide cathodes","Joshua Joseph Zak","false","Published (Approved)","09/2023","","Thesis",,,,,"false",,"true","true","I09-Surface and Interface Structural Analysis",,,"Materials, Chemistry, Energy","",,"Batteries; Lithium-ion","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Spectroscopy, X-ray Photoelectron Spectroscopy (XPS), Hard X-ray Photoelectron Spectroscopy (HAXPES)",,,"27/09/2023"
"16573",,,"DLS:000015000016573","Biophysical and biochemical characterization of an HBV cccDNA g-quadruplex targeting therapeutic","Gerardo K. Balderas Figueroa","false","Published (Approved)","09/2023","","Thesis",,,,,"false",,"true","true","B21-High Throughput SAXS",,,"Biology and Bio-materials, Chemistry","","HBV; Covalently closed circular DNA; cccDNA; G-quadruplex; G4; Single-domain antibodies; sdABs","Hepatitis B Virus (HBV); Viruses","Pathogens, Infectious Diseases, Health & Wellbeing, Biochemistry, Chemistry, Biophysics, Life Sciences & Biotech, Scattering, Small Angle X-ray Scattering (SAXS)",,,"05/10/2023"
"16588",,,"DLS:000000000016588","Characterisation of the high pressure - high temperature phase diagram of ruthenium","Annabelle Brooks","false","Published (Approved)","09/2023","","Thesis",,,,,"false",,"true","false","",,"ID27 at ESRF","Materials, Physics","",,,"Physics, Materials Science",,,"11/10/2023"
